execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,517.26,1,2,4
2,QUIC Single,345.84,1,2,4
3,QUIC Single,345.65,1,2,4
4,QUIC Single,345.68,1,2,4
5,QUIC Single,345.93,1,2,4
6,QUIC Single,345.33,1,2,4
7,QUIC Single,345.68,1,2,4
8,QUIC Single,352.8,1,2,4
9,QUIC Single,345.88,1,2,4
10,QUIC Single,345.68,1,2,4
11,QUIC Single,345.43,1,2,4
12,QUIC Single,345.45,1,2,4
13,QUIC Single,345.55,1,2,4
14,QUIC Single,345.46,1,2,4
15,QUIC Single,345.5,1,2,4
16,QUIC Single,346.14,1,2,4
17,QUIC Single,345.57,1,2,4
18,QUIC Single,345.58,1,2,4
19,QUIC Single,345.88,1,2,4
20,QUIC Single,345.67,1,2,4
21,QUIC Single,347.23,1,2,4
22,QUIC Single,345.26,1,2,4
23,QUIC Single,345.21,1,2,4
24,QUIC Single,345.83,1,2,4
25,QUIC Single,351.04,1,2,4
26,QUIC Single,345.57,1,2,4
27,QUIC Single,345.97,1,2,4
28,QUIC Single,345.48,1,2,4
29,QUIC Single,345.76,1,2,4
30,QUIC Single,345.33,1,2,4
31,QUIC Single,345.46,1,2,4
32,QUIC Single,345.45,1,2,4
33,QUIC Single,345.32,1,2,4
34,QUIC Single,345.19,1,2,4
35,QUIC Single,345.55,1,2,4
36,QUIC Single,345.77,1,2,4
37,QUIC Single,350.74,1,2,4
38,QUIC Single,345.82,1,2,4
39,QUIC Single,345.73,1,2,4
40,QUIC Single,346.78,1,2,4
41,QUIC Single,2678.04,1,2,4
42,QUIC Single,345.6,1,2,4
43,QUIC Single,345.64,1,2,4
44,QUIC Single,345.31,1,2,4
45,QUIC Single,345.58,1,2,4
46,QUIC Single,346.79,1,2,4
47,QUIC Single,345.61,1,2,4
48,QUIC Single,347.27,1,2,4
49,QUIC Single,347.63,1,2,4
50,QUIC Single,345.5,1,2,4
51,QUIC Single,349.5,1,2,4
52,QUIC Single,345.66,1,2,4
53,QUIC Single,345.63,1,2,4
54,QUIC Single,345.32,1,2,4
55,QUIC Single,345.44,1,2,4
56,QUIC Single,350.86,1,2,4
57,QUIC Single,352.43,1,2,4
58,QUIC Single,345.51,1,2,4
59,QUIC Single,345.29,1,2,4
60,QUIC Single,345.35,1,2,4
61,QUIC Single,345.44,1,2,4
62,QUIC Single,345.4,1,2,4
63,QUIC Single,345.33,1,2,4
64,QUIC Single,345.37,1,2,4
65,QUIC Single,352.57,1,2,4
66,QUIC Single,347.79,1,2,4
67,QUIC Single,345.74,1,2,4
68,QUIC Single,347.59,1,2,4
69,QUIC Single,347.25,1,2,4
70,QUIC Single,345.54,1,2,4
71,QUIC Single,345.42,1,2,4
72,QUIC Single,345.55,1,2,4
73,QUIC Single,345.61,1,2,4
74,QUIC Single,346.35,1,2,4
75,QUIC Single,345.23,1,2,4
76,QUIC Single,345.46,1,2,4
77,QUIC Single,351.15,1,2,4
78,QUIC Single,345.36,1,2,4
79,QUIC Single,960.82,1,2,4
80,QUIC Single,345.27,1,2,4
81,QUIC Single,345.44,1,2,4
82,QUIC Single,345.19,1,2,4
83,QUIC Single,345.25,1,2,4
84,QUIC Single,345.25,1,2,4
85,QUIC Single,345.61,1,2,4
86,QUIC Single,345.78,1,2,4
87,QUIC Single,345.35,1,2,4
88,QUIC Single,345.24,1,2,4
89,QUIC Single,345.75,1,2,4
90,QUIC Single,345.56,1,2,4
91,QUIC Single,345.53,1,2,4
92,QUIC Single,345.74,1,2,4
93,QUIC Single,346.16,1,2,4
94,QUIC Single,345.8,1,2,4
95,QUIC Single,345.4,1,2,4
96,QUIC Single,345.27,1,2,4
97,QUIC Single,345.32,1,2,4
98,QUIC Single,345.41,1,2,4
99,QUIC Single,345.43,1,2,4
100,QUIC Single,345.16,1,2,4
101,QUIC Single,345.41,1,2,4
102,QUIC Single,3059.71,1,2,4
103,QUIC Single,345.45,1,2,4
104,QUIC Single,352.6,1,2,4
105,QUIC Single,346.26,1,2,4
106,QUIC Single,345.47,1,2,4
107,QUIC Single,345.73,1,2,4
108,QUIC Single,345.4,1,2,4
109,QUIC Single,352.69,1,2,4
110,QUIC Single,345.26,1,2,4
111,QUIC Single,345.56,1,2,4
112,QUIC Single,345.4,1,2,4
113,QUIC Single,345.94,1,2,4
114,QUIC Single,346.21,1,2,4
115,QUIC Single,345.32,1,2,4
116,QUIC Single,345.5,1,2,4
117,QUIC Single,2678.32,1,2,4
118,QUIC Single,345.36,1,2,4
119,QUIC Single,345.3,1,2,4
120,QUIC Single,345.39,1,2,4
121,QUIC Single,345.43,1,2,4
122,QUIC Single,348.2,1,2,4
123,QUIC Single,345.76,1,2,4
124,QUIC Single,345.45,1,2,4
125,QUIC Single,345.48,1,2,4
