execution,mode,handshake_duration_ms,success,block_index,n_blocks
1,QUIC Single,523.71,1,4,4
2,QUIC Single,358.19,1,4,4
3,QUIC Single,358.52,1,4,4
4,QUIC Single,2682.04,1,4,4
5,QUIC Single,362.32,1,4,4
6,QUIC Single,354.71,1,4,4
7,QUIC Single,350.37,1,4,4
8,QUIC Single,350.03,1,4,4
9,QUIC Single,353.3,1,4,4
10,QUIC Single,350.44,1,4,4
11,QUIC Single,349.76,1,4,4
12,QUIC Single,350.32,1,4,4
13,QUIC Single,350.34,1,4,4
14,QUIC Single,350.67,1,4,4
15,QUIC Single,349.93,1,4,4
16,QUIC Single,350.07,1,4,4
17,QUIC Single,353.48,1,4,4
18,QUIC Single,350.86,1,4,4
19,QUIC Single,355.23,1,4,4
20,QUIC Single,350.47,1,4,4
21,QUIC Single,358.45,1,4,4
22,QUIC Single,349.97,1,4,4
23,QUIC Single,350.05,1,4,4
24,QUIC Single,350.2,1,4,4
25,QUIC Single,350.29,1,4,4
26,QUIC Single,353.81,1,4,4
27,QUIC Single,357.74,1,4,4
28,QUIC Single,350.36,1,4,4
29,QUIC Single,350.41,1,4,4
30,QUIC Single,350.56,1,4,4
31,QUIC Single,350.69,1,4,4
32,QUIC Single,350.34,1,4,4
33,QUIC Single,350.39,1,4,4
34,QUIC Single,358.06,1,4,4
35,QUIC Single,350.46,1,4,4
36,QUIC Single,350.49,1,4,4
37,QUIC Single,349.99,1,4,4
38,QUIC Single,354.06,1,4,4
39,QUIC Single,358.14,1,4,4
40,QUIC Single,350.64,1,4,4
41,QUIC Single,349.95,1,4,4
42,QUIC Single,349.68,1,4,4
43,QUIC Single,350.11,1,4,4
44,QUIC Single,350.64,1,4,4
45,QUIC Single,349.92,1,4,4
46,QUIC Single,350.39,1,4,4
47,QUIC Single,350.23,1,4,4
48,QUIC Single,350.06,1,4,4
49,QUIC Single,350.12,1,4,4
50,QUIC Single,350.34,1,4,4
51,QUIC Single,350.3,1,4,4
52,QUIC Single,361.95,1,4,4
53,QUIC Single,350.18,1,4,4
54,QUIC Single,350.14,1,4,4
55,QUIC Single,361.37,1,4,4
56,QUIC Single,349.8,1,4,4
57,QUIC Single,358.88,1,4,4
58,QUIC Single,350.14,1,4,4
59,QUIC Single,350.29,1,4,4
60,QUIC Single,350.12,1,4,4
61,QUIC Single,351.01,1,4,4
62,QUIC Single,350.55,1,4,4
63,QUIC Single,354.82,1,4,4
64,QUIC Single,353.08,1,4,4
65,QUIC Single,350.55,1,4,4
66,QUIC Single,350.05,1,4,4
67,QUIC Single,350.24,1,4,4
68,QUIC Single,2692.4,1,4,4
69,QUIC Single,359.89,1,4,4
70,QUIC Single,350.94,1,4,4
71,QUIC Single,350.37,1,4,4
72,QUIC Single,351.45,1,4,4
73,QUIC Single,350.65,1,4,4
74,QUIC Single,350.21,1,4,4
75,QUIC Single,349.92,1,4,4
76,QUIC Single,350.01,1,4,4
77,QUIC Single,350.49,1,4,4
78,QUIC Single,351.12,1,4,4
79,QUIC Single,350.43,1,4,4
80,QUIC Single,2681.66,1,4,4
81,QUIC Single,351.17,1,4,4
82,QUIC Single,350.15,1,4,4
83,QUIC Single,349.9,1,4,4
84,QUIC Single,350.45,1,4,4
85,QUIC Single,359.53,1,4,4
86,QUIC Single,358.28,1,4,4
87,QUIC Single,350.04,1,4,4
88,QUIC Single,2681.17,1,4,4
89,QUIC Single,350.38,1,4,4
90,QUIC Single,351.2,1,4,4
91,QUIC Single,350.1,1,4,4
92,QUIC Single,359.12,1,4,4
93,QUIC Single,350.31,1,4,4
94,QUIC Single,353.05,1,4,4
95,QUIC Single,351.32,1,4,4
96,QUIC Single,361.16,1,4,4
97,QUIC Single,350.29,1,4,4
98,QUIC Single,350.29,1,4,4
99,QUIC Single,349.95,1,4,4
100,QUIC Single,350.51,1,4,4
101,QUIC Single,351.33,1,4,4
102,QUIC Single,350.24,1,4,4
103,QUIC Single,350.14,1,4,4
104,QUIC Single,350.0,1,4,4
105,QUIC Single,350.6,1,4,4
106,QUIC Single,350.23,1,4,4
107,QUIC Single,358.35,1,4,4
108,QUIC Single,350.19,1,4,4
109,QUIC Single,353.92,1,4,4
110,QUIC Single,350.27,1,4,4
111,QUIC Single,350.0,1,4,4
112,QUIC Single,349.95,1,4,4
113,QUIC Single,349.58,1,4,4
114,QUIC Single,349.99,1,4,4
115,QUIC Single,350.53,1,4,4
116,QUIC Single,350.79,1,4,4
117,QUIC Single,350.27,1,4,4
118,QUIC Single,353.36,1,4,4
119,QUIC Single,350.11,1,4,4
120,QUIC Single,349.62,1,4,4
121,QUIC Single,350.26,1,4,4
122,QUIC Single,349.83,1,4,4
123,QUIC Single,361.2,1,4,4
124,QUIC Single,350.17,1,4,4
125,QUIC Single,350.25,1,4,4
